index,category_name,category_name_cn,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
10,Baby Girls Shoes,鞋靴,https://www.lazada.sg/catalog?q=Baby+Girls+Shoes&from=hp_categories&src=all_channel&price=20-,partial,100,40,40,1073,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\039_Baby_Girls_Shoes,2026-07-11 11:23:53,2026-07-11 11:33:45,
138,Baby Girls Swimwear,Baby Girls Swimwear,https://www.lazada.sg/catalog?q=Baby+Girls+Swimwear&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\040_Baby_Girls_Swimwear,2026-07-11 11:34:25,2026-07-11 11:40:28,Lazada verification or traffic page detected
139,Baby Girls Tops,Baby Girls Tops,https://www.lazada.sg/catalog?q=Baby+Girls+Tops&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\041_Baby_Girls_Tops,2026-07-11 11:49:51,2026-07-11 11:49:55,Lazada verification or traffic page detected
140,Baby Health Care,健康用品,https://www.lazada.sg/catalog?q=Baby+Health+Care&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\042_Baby_Health_Care,2026-07-11 11:50:18,2026-07-11 11:51:55,"Page.wait_for_timeout: Target page, context or browser has been closed"
141,Baby Monitors,显示器,https://www.lazada.sg/catalog?q=Baby+Monitors&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\043_Baby_Monitors,2026-07-11 11:58:55,2026-07-11 12:00:04,Lazada verification or traffic page detected
142,Baby Oral Care,Baby Oral Care,https://www.lazada.sg/catalog?q=Baby+Oral+Care&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\044_Baby_Oral_Care,2026-07-11 12:06:40,2026-07-11 12:12:29,Lazada verification or traffic page detected
11,Baby Personal Care,婴儿个护,https://www.lazada.sg/catalog?q=Baby+Personal+Care&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\045_Baby_Personal_Care,2026-07-11 12:15:57,2026-07-11 12:21:28,Lazada verification or traffic page detected
143,Baby Safety,Baby Safety,https://www.lazada.sg/catalog?q=Baby+Safety&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\046_Baby_Safety,2026-07-11 12:22:07,2026-07-11 12:26:47,[Errno 22] Invalid argument
144,Babyproofing & Safety,Babyproofing & Safety,https://www.lazada.sg/catalog?q=Babyproofing+%26+Safety&from=hp_categories&src=all_channel&price=20-,partial,100,40,40,482,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\047_Babyproofing_&_Safety,2026-07-11 12:29:17,2026-07-11 12:42:31,
274,Backpacks,双肩包,https://www.lazada.sg/catalog?q=Backpacks&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\048_Backpacks,2026-07-11 12:43:27,2026-07-11 12:49:28,Lazada verification or traffic page detected
275,Badminton,Badminton,https://www.lazada.sg/catalog?q=Badminton&from=hp_categories&src=all_channel&price=20-,partial,100,40,40,732,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\049_Badminton,2026-07-11 12:49:57,2026-07-11 13:00:18,
12,Badminton Shoes,鞋靴,https://www.lazada.sg/catalog?q=Badminton+Shoes&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\050_Badminton_Shoes,2026-07-11 13:01:13,2026-07-11 13:08:32,Lazada verification or traffic page detected
13,Bags,箱包,https://www.lazada.sg/catalog?q=Bags&from=hp_categories&src=all_channel&price=20-,empty,100,0,0,0,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\051_Bags,2026-07-11 13:13:46,2026-07-11 13:14:54,
276,Baked Goods & Desserts,Baked Goods & Desserts,https://www.lazada.sg/catalog?q=Baked+Goods+%26+Desserts&from=hp_categories&src=all_channel&price=20-,partial,100,40,40,62,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\052_Baked_Goods_&_Desserts,2026-07-11 13:16:26,2026-07-11 13:27:05,
277,Bakeware,Bakeware,https://www.lazada.sg/catalog?q=Bakeware&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\053_Bakeware,2026-07-11 13:27:46,2026-07-11 13:30:20,Lazada verification or traffic page detected
