序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
85,,2443351857,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2443351857.html,pending,,,{}
86,,13693583197,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13693583197.html,pending,,,{}
87,,2214232389,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2214232389.html,pending,,,{}
88,,3487653628,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3487653628.html,pending,,,{}
89,,3491702391,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3491702391.html,pending,,,{}
90,,13694061400,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13694061400.html,pending,,,{}
91,,995132627,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i995132627.html,pending,,,{}
92,,3547032062,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3547032062.html,pending,,,{}
93,,3158415437,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3158415437.html,pending,,,{}
94,,278945180,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i278945180.html,pending,,,{}
95,,2456139835,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2456139835.html,pending,,,{}
96,,3613578221,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3613578221.html,pending,,,{}
97,,3370596475,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3370596475.html,pending,,,{}
98,,2777002456,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2777002456.html,pending,,,{}
99,,1837489447,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1837489447.html,pending,,,{}
100,,3607301594,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3607301594.html,pending,,,{}
101,,13670704431,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13670704431.html,pending,,,{}
102,,3404734048,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3404734048.html,pending,,,{}
103,,3055400046,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3055400046.html,pending,,,{}
104,,2944620054,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2944620054.html,pending,,,{}
105,,3607334470,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3607334470.html,pending,,,{}
106,,13712393975,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13712393975.html,pending,,,{}
107,,2748778871,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2748778871.html,pending,,,{}
108,,3016872630,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3016872630.html,pending,,,{}
109,,2124167606,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2124167606.html,pending,,,{}
110,,2874634453,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2874634453.html,pending,,,{}
111,,2357955004,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2357955004.html,pending,,,{}
112,,2620270434,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2620270434.html,pending,,,{}
113,,13781543581,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13781543581.html,pending,,,{}
114,,3302877753,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3302877753.html,pending,,,{}
115,,13687392175,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13687392175.html,pending,,,{}
116,,7340541,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i7340541.html,pending,,,{}
117,,3130300432,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3130300432.html,pending,,,{}
118,,3367692022,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3367692022.html,pending,,,{}
119,,3613433000,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3613433000.html,pending,,,{}
120,,3070468831,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3070468831.html,pending,,,{}
121,,2939196533,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2939196533.html,pending,,,{}
122,,3065371676,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3065371676.html,pending,,,{}
123,,2883230360,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2883230360.html,pending,,,{}
124,,2399864121,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2399864121.html,pending,,,{}
125,,2607390811,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2607390811.html,pending,,,{}
126,,3380170048,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3380170048.html,pending,,,{}
127,,3022943316,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3022943316.html,pending,,,{}
128,,3339420977,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Accessories&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3339420977.html,pending,,,{}
